"title","metatags","rating_score","rating_audience","reviews","total_seasons","total_episodes","total_duration (minutes)","episodes_duration_average (minutes)","audio","subtitles","audio.Español (España)","audio.Español (América Latina)","audio.English","audio.English (India)","audio.Français","audio.Português (Brasil)","audio.Italiano","audio.Deutsch","audio.Japonés","audio.Русский","audio.العربية","audio.हिंदी","subtitles.Español (España)","subtitles.Español (América Latina)","subtitles.English","subtitles.Français","subtitles.Português (Portugal)","subtitles.Português (Brasil)","subtitles.Italiano","subtitles.Deutsch","subtitles.Русский","subtitles.العربية","subtitles.हिंदी","genres","editor","link","description"
"Pretty Cure","Subtitulado","4.4",1000,0,1,28,672,24,"[""Japonés""]","[""Español (España)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Aventura"",""Fantasia"",""Shoujo""]","Toei Animation","https://www.crunchyroll.com/es-es/series/G6X0J185Y/pretty-cure","La atleta Nagisa Misumi y la estudiosa Honoka Yukishiro son estudiantes de segundo curso de secundaria en la Academia Femenina Verone, y ambas se encuentran con dos criaturas misteriosas que caen del cielo una noche: Mepple y Mipple. Mepple y Mipple han huido de su tierra natal, el Jardín de la Luz, para escapar del ataque de las malvadas fuerzas de la Zona Dotsuku. Estas dos extrañas criaturas otorgan a Nagisa y a Honoka el poder de transformarse en unas heroínas conocidas como ""Cure Black"" y ""Cure White"", convirtiéndolas a ambas en las guardianas del planeta."
"Mushoku Tensei Jobless Reincarnation","Sub | Dob","4.9",41000,19,1,0,0,0,"[""Japonés"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","true","true","-","true","true","-","-","-","-","true","true","true","-","true","-","true","-","-","-","[""Aventura"",""Drama"",""Fantasia""]","Showgate","https://www.crunchyroll.com/es-es/series/G24H1N3MP/mushoku-tensei-jobless-reincarnation","Cuando un autobús atropella a un joven de 34 años que no ha logrado mucho en su vida, su historia no termina ahí. Habiendo reencarnado en un niño, Rudy aprovechará cada oportunidad para vivir la vida que siempre quiso. ¡Con la ayuda de sus amigos, unas habilidades mágicas recién adquiridas, y el coraje para hacer las cosas que siempre ha soñado, se embarca en una aventura épica, con su experiencia pasada intacta!"
"Akebi's Sailor Uniform","Sub | Dob","4.7",4000,7,1,12,276,23,"[""Japonés"",""English"",""हिंदी""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","true","-","-","-","-","-","true","-","-","true","-","-","true","-","-","-","-","-","-","-","true","[""Drama""]","Aniplex of America","https://www.crunchyroll.com/es-es/series/GDKHZEW97/akebis-sailor-uniform","Komichi Akebi está en su primer año de preparatoria/instituto y hay una sola cosa que le ha robado el corazón: el uniforme de marinerito de la Academia Privada Robai. Según se acerca esta nueva fase de su vida, sueña con todas las nuevas y emocionantes experiencias que podrá vivir: almuerzos en clase, las propias clases, actividades del club, y por supuesto, ¡hacer amistades! Ahora que se ha puesto su ropa favorita, Komichi se siente preparada para cualquier cosa."
"Taisho Otome Fairytale","Subtitulado","4.9",1000,1,1,12,276,23,"[""Japonés"",""English""]","[""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)"",""العربية"",""हिंदी""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","PONY CANYON INC.","https://www.crunchyroll.com/es-es/series/G4PH0WZNK/taisho-otome-fairy-tale","Shima Tamahiko es un pesimista autoproclamado que odia el mundo. Y razones no le faltan: tras su discapacidad, su familia pudiente lo exilia al campo, pero su vida solitaria está a punto de dar un vuelco cuando llega Tachibana Yuzuki, su futura esposa."
"Kiznaiver","Sub | Dob","4.5",2000,9,0,0,0,0,"[""Japonés"",""English""]","[""English""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","ABC Asahi","https://www.crunchyroll.com/es-es/series/GYNQPV08Y/kiznaiver","La historia se desarrollará en la ficticia ciudad japonesa de Sugomori. Un día, una chica llamada Sonosaki le comenta a su compañero Katsugira: “Has sido seleccionado para ser un Kiznaiver”. El Sistema Kizuna, el cual le permite a Katsuhira compartir sus heridas, lo conecta a sus compañeros cuyas vidas y personalidades son completamente diferentes. El Sistema Kizuna es un sistema incompleto para la implementación de la paz mundial que conecta a todas las personas a través de las heridas. Aquellos conectados al sistema son Kiznaivers."
"Yu-Gi-Oh! 5D's","Sub | Dob","4.5",964,0,0,0,0,0,"[""Japonés"",""English""]","[""English""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Acción"",""Fantasia"",""Ciencia Ficción"",""Shounen"",""Sobrenatural""]","Konami Cross Media NY","https://www.crunchyroll.com/es-es/series/G62P107J6/yu-gi-oh-5ds",""
"Wandering Witch The Journey of Elaina","Sub | Dob","4.6",3000,2,1,12,282,24,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/G79H23VNQ/wandering-witch-the-journey-of-elaina","Elaina sale a conocer el mundo, con muchas ganas de vivir la humanidad motivada por la curiosidad de experiencias. ¿Cuál será su próximo destino?"
"Wonder Momo","Subtitulado","2.6",55,0,1,6,78,13,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Ciencia Ficción""]","shiftylook","https://www.crunchyroll.com/es-es/series/GR9P3G7V6/wonder-momo","Un día, un grupo de alienígenes que pretenden invadir la Tierra, llegan a Tokio. Momoko, que aspira a ser una idol, se ve involucrada en la batalla, pero ella decide plantar cara a Warudemon, el rey del imperio alinígena. Momoko se convertirá en Wonder Momo."
"The Silver Guardian","Sub | Dob","3.7",1000,2,0,0,0,0,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Acción"",""Fantasia"",""Ciencia Ficción"",""Sobrenatural""]","EMON","https://www.crunchyroll.com/es-es/series/G6NQ5NJ36/the-silver-guardian","Suigin es un joven muchacho que lucha en un extraño mundo para proteger un mausoleo de los no muertos. En nuestro mundo, solo la hermosa Riku Rei sabe de su sacrificio."
"Cheating Craft","Subtitulado","3.2",209,0,1,12,144,12,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Comedia""]","EMON","https://www.crunchyroll.com/es-es/series/G69PM13DY/cheating-craft","Los exámenes universitarios son uno de los principales factores que afectan a la vida de una persona. Dependiendo de los resultados obtenidos, la vida puede derivar en una de alta clase y honorable, o puede acabar convirtiendo a la persona en un despojo de la sociedad. Ante tal campo de batalla, los estudiantes hacen todo lo posible por sobrevivir. Los ""tipo Learning"" son aquellos que estudian todo lo posible para memorizar lo que deben aprender, pero en el lado opuesto están los ""tipo Cheater"", que como su nombre indica, esperan ascender en la escala educacional usando todo tipo de trucos."
"Rusted Armors","Sub | Dob","1.5",783,0,1,0,0,0,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Aventura""]","Forecast Communications Inc","https://www.crunchyroll.com/es-es/series/GG5H5XE5W/rusted-armors","La aldea Saika siempre está en constante ataque debido al gran secreto que poseen allí: las Armors. Pero cuentan con la protección de Magoichi y el resto."
"Null & Peta","Subtitulado","4.1",109,2,1,12,67,6,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Comedia""]","Shin-Ei Doga","https://www.crunchyroll.com/es-es/series/G6G5MEE16/null--peta","Null es una joven genio que perdió a su hermana mayor, Peta, en un accidente. ¡Pero ni siquiera la muerte podrá separar a esta inteligente niña de su querida hermana mayor! Usará su gran inteligencia para hacer que su hermana regrese como un robot. Aunque, ¿no es un poco diferente de lo que ella esperaba? ¡Una divertida comedia entre la hermana menor, Null, y la robótica hermana mayor, Peta! ""¡Hermana! ¡Te desconectaste sin querer del enchufe!""."
"The Faraway Paladin","Sub | Dob","4.6",15000,1,1,0,0,0,"[""Japonés"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","true","true","-","true","true","-","-","-","-","true","true","true","-","true","-","true","-","-","-","[""Aventura"",""Drama"",""Fantasia""]","Bilibili Inc","https://www.crunchyroll.com/es-es/series/GEXH3W8G1/the-faraway-paladin","En las ruinas de la ciudad de los muertos, muy lejos de la civilización humana, vive un único niño humano llamado Will. Al niño lo han criado tres no muertos: Blood el herorico guerrero esqueleto, la sacerdotisa momia Mary y el mago fantasma Gus. Los tres enseñan al niño todo lo que saben y lo colman de amor."
"More than a Married Couple, but Not Lovers.","Doblajes","4.8",26000,13,1,12,288,24,"[""Japonés"",""English"",""Deutsch"",""Español (América Latina)"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","-","true","-","true","true","-","-","-","-","true","true","-","-","true","-","true","-","-","-","[""Drama"",""Romance""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/GJ0H7Q5N3/more-than-a-married-couple-but-not-lovers","¿Alguna vez pensaste que en la enseñanza deberían incluirse cosas más útiles para el día a día? Pues es lo que ocurre aquí, donde se empareja a los estudiantes para que practiquen cómo será la vida de casados durante un tiempo, ¡y eso incluye vivir juntos! ¿Qué puede salir mal cuando la suerte empareja a una gal con un estudiante algo retraído que prefiere jugar a videojuegos en lugar de relacionarse? ¡Lo peor es que tendrán que esforzarse si quieren aprobar!"
"Ikki Tousen","Para adultos","3.9",1000,1,1,3,80,27,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Acción""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/G24H1NZXD/ikki-tousen",""
"GTO - The Animation","Sub | Dob","4.9",2000,9,1,28,687,25,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Português (Brasil)"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Comedia"",""Drama"",""Shounen""]","Fuji Creative Corporation","https://www.crunchyroll.com/es-es/series/GRQ4QG4GY/gto---the-animation","Conoce a Eikichi Onizuka, un exmotociclista de 22 años y campeón de Karate universitario. Es crudo, malhablado y tiene un temperamento que se irrita fácilmente. Su meta: ¡ser el mejor profesor de secundaria en el mundo! Desafortunadamente, el único trabajo como profesor que está disponible es en la Academia Holy Forest (no necesita certificado). Allí utiliza sus conocimientos callejeros para lidiar con sus colegas y los estudiantes."
"Holmes of Kyoto","Sub | Dob","4.4",931,1,1,12,276,23,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Drama"",""Romance""]","Hakuhodo","https://www.crunchyroll.com/es-es/series/GRZJXGX46/holmes-of-kyoto","Holmes es un joven cuya familia regenta una tienda de antigüedades en Kyoto con dos habilidades: leer a la perfección a las personas y distinguir al instante entre una antigüedad genuina y una sin valor. Cuando la joven estudiante Aoi Maki comienza a trabajar con Holmes, juntos se dedicarán a desvelar los muchos misterios que rodean a las antigüedades que llegan a la tienda."
"Vandread","Sub | Dob","4.6",480,0,0,0,0,0,"[""Japonés"",""English""]","[""English"",""Deutsch""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","GONZO","https://www.crunchyroll.com/es-es/series/G64945WWY/vandread","En el futuro, la batalla de los sexos pasa a ser una guerra. Los hombres y las mujeres no discuten; van a la yugular."
"Cinderella Chef","Subtitulado","3.9",839,1,1,12,217,18,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Fantasia""]","Bilibili Inc","https://www.crunchyroll.com/es-es/series/G0XHWM45M/cinderella-chef","Cuando el emperador acude a buscar a Ye Jiayao, esta lo primero que hace es pensar en huir, pero lo que no esperaba era que le pidiera que cocinara en el palacio."
"SAKUGAN","Sub | Dob","4.3",2000,2,1,12,276,23,"[""Japonés"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","true","true","-","true","true","-","-","-","-","true","true","true","-","true","-","true","-","-","-","[""Aventura"",""Ciencia Ficción""]","Sotsu","https://www.crunchyroll.com/es-es/series/GP5HJ800Z/sakugan","En un futuro lejano, la humanidad vive codo con codo en una estrecha ""Colonia"" dividida por el lecho de roca. Fuera de la colonia se extiende una peligrosa zona sin desarrollar conocida como ""El Laberinto"". Los que arriesgan su vida para explorar el Laberinto y marcar las zonas no desarrolladas se conocen como ""Markers"". Memempu es una joven que quiere convertirse en Marker, y Gagumber es un hombre que dejó de ser Marker. Este equipo de padre e hija está a punto de enfrentarse al Laberinto."
"REVENGER","Subtitulado","4.7",1000,0,2,6,138,23,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","Shochiku","https://www.crunchyroll.com/es-es/series/G8DHV7425/revenger","Cuando el maestro asesino Usui Yuen investiga una serie de asesinatos cometido en el seno de los Satsuma, un reconocido clan de samuráis, conoce a Kurima Raizo, uno de sus miembros y superviviente de uno de los ataques. Juntos descubrirán la verdadera naturaleza de los asesinatos, la cual va más allá del robo de recursos. Al acercarse a la verdad, ¿podrán sobrevivir y al mismo tiempo consumar su venganza?"
"World Trigger","Sub | Dob","4.7",6000,13,0,0,0,0,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Fantasia"",""Ciencia Ficción"",""Shounen"",""Sobrenatural""]","Toei Animation","https://www.crunchyroll.com/es-es/series/GR757DMKY/world-trigger","Un día aparece sobre la ciudad un portal a otra dimensión, y de él emergen los Neighbors, invasores gigantescos que amenazan con acabar con toda la humanidad. Para proteger la ciudad y la Tierra se crea Border, un grupo especial de agentes que aprovechan la tecnología alienígena en su provecho. Un miembro en prácticas de Border, Osamu Mikumo, se encuentra con un extraño chico que dice ser de la otra dimensión y que las cosas que le dicen en Border no son del todo ciertas."
"Police in a Pod","Subtitulado","4.6",413,0,1,13,299,23,"[""Japonés""]","[""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/GJ0H7Q8Z1/police-in-a-pod","¡La agente Mai Kawai ha tenido suficiente! Está harta de ser agente de policía, pero justo cuando está a punto de entregar su dimisión, la llegada de una brillante (y hermosa) detective estrella llamada Seiko Fuji la hace cambiar de parecer. ¿Fuji reavivará la pasión de Mai por la policía? ¿Y Mai descubrirá el misterio de por qué Fuji fue trasladada a ese puesto de policía ordinario?"
"Case file n221: Kabukicho","Sub | Dob","4.1",149,0,1,25,596,24,"[""Japonés"",""English""]","[""English"",""Español (América Latina)""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Comedia"",""Drama""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/GG5H5X35K/case-file-n221-kabukicho",""
"TONIKAWA: Over The Moon For You","Sub | Dob","4.8",24000,54,0,0,0,0,"[""Japonés"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","true","true","-","true","true","-","-","-","-","true","true","true","-","true","-","true","-","-","-","[""Comedia"",""Romance""]","Warner Japan","https://www.crunchyroll.com/es-es/series/GRWMGGQ86/tonikawa-over-the-moon-for-you","Una comedia de vida matrimonial obra de Kenjiro Hata, autor de ""Hayate the Comat Butler"" y que ¡al fin da el salto al anime! Nasa Yuzaki se enamora a primera vista tras conocer a la misteriosa Tsukasa. Cuando Nasa reúne valor para declararle lo que siente, la respuesta de la chica le sorprende: ""Saldré contigo, pero solo si nos casamos"". ¡La entrañable vida de casados de Nasa y Tsukasa está a punto de comenzar!"
"Gokukoku no Brynhildr","Subtitulado","4.3",1000,3,1,13,299,23,"[""Japonés""]","[""Español (España)"",""English"",""Español (América Latina)"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Drama"",""Fantasia"",""Romance""]","Yomiuri Telecasting Corporation (YTV)","https://www.crunchyroll.com/es-es/series/G6WEMP106/brynhildr-in-the-darkness","Ryota Murakami es un chico de instituto que no puede olvidar a una amiga de la infancia que murió en un accidente y a la que no pudo ayudar. Con la sensación de que ha de cumplir su promesa con la muchacha de que ha de demostrar la existencia de vida extraterrestre, lleva toda su vida observando el cielo como miembro del club de astronomía. Un día aparece una nueva estudiante llamada Neko Kuroha, transferida a su clase, y que curiosamente es idéntica a su amiga de la infancia. Resulta ser una maga que ha escapado de un laboratorio de investigación."
"Shiratori Reiko","Subtitulado","3.5",31,0,1,10,239,24,"[""Japonés""]","[""English""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[]","SPO Entertainment","https://www.crunchyroll.com/es-es/series/G6E5K32QY/shiratori-reiko",""
"Slow Loop","Subtitulado","4.7",466,0,0,0,0,0,"[""Japonés""]","[""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Deportes""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/GKEH2GQ1G/slow-loop","Nerviosa por conocer a su nuevo padrastro, Hiyori se dirige al lugar donde siempre se siente como en casa: el océano. Cuando aparece una niña curiosa llamada Koharu, Hiyori decide enseñarle a pescar, tal como lo hizo su padre antes de morir. Pero después de que Koharu revela que también conocerá a su nueva familia esa noche, las chicas se dan cuenta de algo sorprendente. ¡Su amistad está a punto de alcanzar un nivel completamente nuevo!"
"Sasami Magical Girls Club","Sub | Dob","3.3",46,0,1,0,0,0,"[""Japonés"",""English""]","[""English""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","ntv","https://www.crunchyroll.com/es-es/series/GRK5ZZGW6/sasami-magical-girls-club",""
"Log Horizon","Sub | Dob","4.7",7000,5,0,0,0,0,"[""Japonés"",""English"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","[""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""हिंदी""]","-","true","true","-","true","true","-","-","true","-","-","-","-","true","true","true","-","true","-","-","-","-","-","[""Acción"",""Aventura"",""Drama"",""Fantasia"",""Ciencia Ficción""]","NHKEnterprise","https://www.crunchyroll.com/es-es/series/GRVNMG93Y/log-horizon","La historia comienza cuando 30.000 jugadores japoneses quedan atrapados en el mundo de fantasía online Elder Tale. Lo que en su momento era una vía de escape del mundo real, es ahora toda la realidad que conocen. Shiroe, el protagonista, intenta sobrevivir como puede en ese mundo junto a su viejo amigo Naotsugu y a la preciosa asesina Akatsuki."
"Sakura Wars the Movie","Sub | Dob","3.8",53,0,1,1,86,86,"[""Japonés"",""English""]","[""English""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Drama"",""Ciencia Ficción""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/GNVHKNP88/sakura-wars-the-movie",""
"Fan Service","Doblajes","2.8",98,1,1,12,704,59,"[""English""]","[]","-","-","true","-","-","-","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","crunchyroll","https://www.crunchyroll.com/es-es/series/G65PV1NE6/fan-service",""
"ORECA BATTLE","Subtitulado","4.0",28,0,1,28,297,11,"[""Japonés""]","[""English""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Fantasia"",""Shounen""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/G6Q4KKGER/oreca-battle",""
"Mobile Suit Gundam 00","Subtitulado","4.8",1000,3,0,0,0,0,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Ciencia Ficción""]","Sunrise","https://www.crunchyroll.com/es-es/series/G6MGQ0976/mobile-suit-gundam-00","En el año 2037 los combustibles fósiles se han agotado, pero la humanidad ha encontrado una nueva fuente de energía gracias a un sistema de elevadores espaciales y energía solar. Los beneficios de este nuevo sistema están limitados en su disfrute a las grandes potencias y sus aliados. En un mundo de conflictos incesantes se alza una nueva organización armada privada dedicada a acabar con la guerra por medio de la fuerza: Celestial Being, poseedores de los mobile suits ""Gundam""."
"Pop Team Epic","Sub | Dob","4.2",1000,7,0,0,0,0,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Acción"",""Comedia""]","King Record Company Limited","https://www.crunchyroll.com/es-es/series/G69P1K90Y/pop-team-epic","¿Qué podemos decir de esta serie protagonizada por las aparentemente inocentes Popuko y Pipimi? Pues la verdad es que no sabemos qué decir, puesto que la serie nos ofrece humor, confusión, locura y sanación a partes iguales. Lo que está claro es que no dejará a nadie indiferente, y es que estas dos peculiares chicas vienen dispuestas a quedarse y a ocupar un sitio en nuestros corazones, aunque sea usando la fuerza. ¿Tendrán que usarla contigo?"
"DRAMAtical Murder","Subtitulado","4.3",924,2,1,12,288,24,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Drama"",""Romance"",""Ciencia Ficción""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/G63V7VN4Y/dramatical-murder","Aoba es un muchacho que trabaja en una tienda de chatarra. En la isla en la que vive hay un juego llamado ""Rhyme"" que se está haciendo muy popular y en el que él no tiene interés alguno, pero que se ha extendido mucho pese a ser peligroso. Sin embargo, el destino tiene guardada una sorpresa para Aoba, y es que su amnesia oculta muchos secretos."
"The Defective","Sub | Dob","3.5",211,0,1,0,0,0,"[""Español (América Latina)"",""Português (Brasil)""]","[""Español (España)"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","-","true","-","-","-","true","-","-","-","-","-","-","-","true","-","-","-","true","-","-","-","-","-","[""Ciencia Ficción""]","Bilibili Inc","https://www.crunchyroll.com/es-es/series/G1XHJV2PZ/the-defective","En un futuro aparentemente utópico, la pandilla del Agujero Negro y su líder investigan una serie de desapariciones. Mientras tanto, una misteriosa joven se enfrenta a un secuestrador en un callejón, y las cosas no salen según lo previsto."
"PEACE MAKER KUROGANE","Doblajes","4.0",109,0,1,1,109,109,"[""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","true","-","-","-","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Acción"",""Aventura"",""Shounen""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/GRVD1337R/peace-maker-kurogane","Aunque el Shinsengumi sufrió un duro golpe tras el incidente en Aburano Koji, sus miembros se preparan para seguir siendo abanderados de la voluntad del shogun, Tokugawa Yoshinobu. Mientras tanto, la Corte Imperial proclama el fin del shogunato Tokugawa y Yoshinobu se retira a Osaka. El Shinsengumi se prepara de nuevo para la batalla, trasladándose a la oficina del magistrado en Fushimi."
"Tiger Mask W","Subtitulado","4.3",139,1,1,28,644,23,"[""Japonés""]","[""English"",""Español (América Latina)"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[]","Toei Animation","https://www.crunchyroll.com/es-es/series/GY8VJJ0GY/tiger-mask-w","Los protagonistas son dos jóvenes luchadores profesionales, Naoto Azuma y Takuma Fujii. Ambos formaban parte del equipo “Jipang Pro Wrestling”, un pequeño equipo profesional que fue destruido por el “Global Wrestling Monopoly (GWM)”. Buscando venganza, Azuma entrenó al pie del Monte Fuji y se convirtió en Tiger Mask, mientras que Takuma se atrevió a entrar en la Guarida del Tigre para ganar una fiera competición en la que recibió una máscara de tigre negro. Un tigre recorre la senda de la luz y el otro, la senda de las sombras."
"Trinity Seven","Subtitulado","4.6",4000,14,0,0,0,0,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Comedia"",""Fantasia"",""Shounen"",""Sobrenatural""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/G60914JM6/trinity-seven","El protagonista Arata Kasuga se ve envuelto en un extraño incidente conocido como “Collapse Phenomenon” que provoca la destrucción del mundo y que traslada a su primo Hiriji Kasuga a otro mundo. Para resolver el “Collapse Phenomenon” y traer de vuelta a Hijiri, Arata se inscribe en la Royal Biblia Academy. Allí conocerá a siete preciosas magas conocidas como Trinity Seven."
